,Steps,ACC,method
600,3400,0.82,direct
601,3400,0.77,direct
602,3400,0.74,direct
603,3400,0.68,direct
604,3400,0.77,direct
605,3420,0.82,direct
606,3420,0.77,direct
607,3420,0.74,direct
608,3420,0.68,direct
609,3420,0.77,direct
610,3440,0.82,direct
611,3440,0.77,direct
612,3440,0.74,direct
613,3440,0.68,direct
614,3440,0.77,direct
615,3460,0.82,direct
616,3460,0.77,direct
617,3460,0.74,direct
618,3460,0.68,direct
619,3460,0.77,direct
620,3480,0.82,direct
621,3480,0.77,direct
622,3480,0.74,direct
623,3480,0.68,direct
624,3480,0.77,direct
625,3500,0.82,direct
626,3500,0.77,direct
627,3500,0.74,direct
628,3500,0.68,direct
629,3500,0.77,direct
630,3520,0.82,direct
631,3520,0.77,direct
632,3520,0.74,direct
633,3520,0.68,direct
634,3520,0.77,direct
635,3540,0.82,direct
636,3540,0.77,direct
637,3540,0.74,direct
638,3540,0.68,direct
639,3540,0.77,direct
640,3560,0.82,direct
641,3560,0.77,direct
642,3560,0.74,direct
643,3560,0.68,direct
644,3560,0.77,direct
645,3580,0.82,direct
646,3580,0.77,direct
647,3580,0.74,direct
648,3580,0.68,direct
649,3580,0.77,direct
650,3600,0.82,direct
651,3600,0.77,direct
652,3600,0.74,direct
653,3600,0.68,direct
654,3600,0.77,direct
655,3620,0.82,direct
656,3620,0.77,direct
657,3620,0.74,direct
658,3620,0.68,direct
659,3620,0.77,direct
660,3640,0.82,direct
661,3640,0.77,direct
662,3640,0.74,direct
663,3640,0.68,direct
664,3640,0.77,direct
665,3660,0.82,direct
666,3660,0.77,direct
667,3660,0.74,direct
668,3660,0.68,direct
669,3660,0.77,direct
670,3680,0.82,direct
671,3680,0.77,direct
672,3680,0.74,direct
673,3680,0.68,direct
674,3680,0.77,direct
675,3700,0.82,direct
676,3700,0.77,direct
677,3700,0.74,direct
678,3700,0.68,direct
679,3700,0.77,direct
680,3720,0.82,direct
681,3720,0.77,direct
682,3720,0.74,direct
683,3720,0.68,direct
684,3720,0.77,direct
685,3740,0.82,direct
686,3740,0.77,direct
687,3740,0.74,direct
688,3740,0.68,direct
689,3740,0.77,direct
690,3760,0.82,direct
691,3760,0.77,direct
692,3760,0.74,direct
693,3760,0.68,direct
694,3760,0.77,direct
695,3780,0.82,direct
696,3780,0.77,direct
697,3780,0.74,direct
698,3780,0.68,direct
699,3780,0.77,direct
700,3800,0.82,direct
701,3800,0.77,direct
702,3800,0.74,direct
703,3800,0.68,direct
704,3800,0.77,direct
705,3820,0.82,direct
706,3820,0.77,direct
707,3820,0.74,direct
708,3820,0.68,direct
709,3820,0.77,direct
710,3840,0.82,direct
711,3840,0.77,direct
712,3840,0.74,direct
713,3840,0.68,direct
714,3840,0.77,direct
715,3860,0.82,direct
716,3860,0.77,direct
717,3860,0.74,direct
718,3860,0.68,direct
719,3860,0.77,direct
720,3880,0.82,direct
721,3880,0.77,direct
722,3880,0.74,direct
723,3880,0.68,direct
724,3880,0.77,direct
725,3900,0.82,direct
726,3900,0.77,direct
727,3900,0.74,direct
728,3900,0.68,direct
729,3900,0.77,direct
730,3920,0.82,direct
731,3920,0.77,direct
732,3920,0.74,direct
733,3920,0.68,direct
734,3920,0.77,direct
735,3940,0.82,direct
736,3940,0.77,direct
737,3940,0.74,direct
738,3940,0.68,direct
739,3940,0.77,direct
740,3960,0.82,direct
741,3960,0.77,direct
742,3960,0.74,direct
743,3960,0.68,direct
744,3960,0.77,direct
745,3980,0.82,direct
746,3980,0.77,direct
747,3980,0.74,direct
748,3980,0.68,direct
749,3980,0.77,direct
750,4000,0.17,direct
751,4000,0.16,direct
752,4000,0.17,direct
753,4000,0.07,direct
754,4000,0.14,direct
755,4020,0.15,direct
756,4020,0.15,direct
757,4020,0.16,direct
758,4020,0.23,direct
759,4020,0.17,direct
760,4040,0.17,direct
761,4040,0.16,direct
762,4040,0.22,direct
763,4040,0.26,direct
764,4040,0.26,direct
765,4060,0.31,direct
766,4060,0.28,direct
767,4060,0.23,direct
768,4060,0.32,direct
769,4060,0.3,direct
770,4080,0.29,direct
771,4080,0.33,direct
772,4080,0.33,direct
773,4080,0.3,direct
774,4080,0.23,direct
775,4100,0.37,direct
776,4100,0.38,direct
777,4100,0.35,direct
778,4100,0.24,direct
779,4100,0.28,direct
780,4120,0.4,direct
781,4120,0.29,direct
782,4120,0.36,direct
783,4120,0.33,direct
784,4120,0.41,direct
785,4140,0.44,direct
786,4140,0.42,direct
787,4140,0.39,direct
788,4140,0.38,direct
789,4140,0.37,direct
790,4160,0.41,direct
791,4160,0.43,direct
792,4160,0.46,direct
793,4160,0.4,direct
794,4160,0.43,direct
795,4180,0.46,direct
796,4180,0.48,direct
797,4180,0.42,direct
798,4180,0.43,direct
799,4180,0.35,direct
800,4200,0.38,direct
801,4200,0.44,direct
802,4200,0.47,direct
803,4200,0.49,direct
804,4200,0.47,direct
805,4220,0.51,direct
806,4220,0.46,direct
807,4220,0.49,direct
808,4220,0.41,direct
809,4220,0.48,direct
810,4240,0.46,direct
811,4240,0.44,direct
812,4240,0.51,direct
813,4240,0.45,direct
814,4240,0.46,direct
815,4260,0.52,direct
816,4260,0.53,direct
817,4260,0.46,direct
818,4260,0.48,direct
819,4260,0.42,direct
820,4280,0.51,direct
821,4280,0.45,direct
822,4280,0.51,direct
823,4280,0.51,direct
824,4280,0.54,direct
825,4300,0.53,direct
826,4300,0.54,direct
827,4300,0.52,direct
828,4300,0.52,direct
829,4300,0.45,direct
830,4320,0.49,direct
831,4320,0.57,direct
832,4320,0.47,direct
833,4320,0.55,direct
834,4320,0.51,direct
835,4340,0.57,direct
836,4340,0.52,direct
837,4340,0.52,direct
838,4340,0.47,direct
839,4340,0.52,direct
840,4360,0.45,direct
841,4360,0.55,direct
842,4360,0.59,direct
843,4360,0.52,direct
844,4360,0.57,direct
845,4380,0.53,direct
846,4380,0.57,direct
847,4380,0.59,direct
848,4380,0.57,direct
849,4380,0.47,direct
850,4400,0.58,direct
851,4400,0.58,direct
852,4400,0.59,direct
853,4400,0.57,direct
854,4400,0.59,direct
855,4420,0.58,direct
856,4420,0.55,direct
857,4420,0.57,direct
858,4420,0.56,direct
859,4420,0.59,direct
860,4440,0.57,direct
861,4440,0.56,direct
862,4440,0.56,direct
863,4440,0.58,direct
864,4440,0.59,direct
865,4460,0.61,direct
866,4460,0.55,direct
867,4460,0.58,direct
868,4460,0.6,direct
869,4460,0.51,direct
870,4480,0.61,direct
871,4480,0.61,direct
872,4480,0.63,direct
873,4480,0.62,direct
874,4480,0.53,direct
875,4500,0.58,direct
876,4500,0.56,direct
877,4500,0.6,direct
878,4500,0.59,direct
879,4500,0.63,direct
880,4520,0.63,direct
881,4520,0.61,direct
882,4520,0.59,direct
883,4520,0.6,direct
884,4520,0.64,direct
885,4540,0.58,direct
886,4540,0.59,direct
887,4540,0.63,direct
888,4540,0.62,direct
889,4540,0.62,direct
890,4560,0.62,direct
891,4560,0.63,direct
892,4560,0.65,direct
893,4560,0.61,direct
894,4560,0.57,direct
895,4580,0.63,direct
896,4580,0.59,direct
897,4580,0.56,direct
898,4580,0.66,direct
899,4580,0.59,direct
900,4600,0.61,direct
901,4600,0.64,direct
902,4600,0.57,direct
903,4600,0.55,direct
904,4600,0.64,direct
905,4620,0.55,direct
906,4620,0.54,direct
907,4620,0.64,direct
908,4620,0.65,direct
909,4620,0.54,direct
910,4640,0.65,direct
911,4640,0.62,direct
912,4640,0.6,direct
913,4640,0.65,direct
914,4640,0.63,direct
915,4660,0.64,direct
916,4660,0.59,direct
917,4660,0.56,direct
918,4660,0.64,direct
919,4660,0.66,direct
920,4680,0.62,direct
921,4680,0.66,direct
922,4680,0.61,direct
923,4680,0.67,direct
924,4680,0.66,direct
925,4700,0.64,direct
926,4700,0.63,direct
927,4700,0.54,direct
928,4700,0.64,direct
929,4700,0.59,direct
930,4720,0.65,direct
931,4720,0.55,direct
932,4720,0.67,direct
933,4720,0.64,direct
934,4720,0.58,direct
935,4740,0.58,direct
936,4740,0.63,direct
937,4740,0.65,direct
938,4740,0.61,direct
939,4740,0.6,direct
940,4760,0.56,direct
941,4760,0.53,direct
942,4760,0.64,direct
943,4760,0.64,direct
944,4760,0.63,direct
945,4780,0.64,direct
946,4780,0.57,direct
947,4780,0.64,direct
