,Steps,ASR,method
914,1646.257028,0.82,bb
915,1666.333333,0.8,bb
916,1666.333333,0.82,bb
917,1666.333333,0.83,bb
918,1666.333333,0.72,bb
919,1666.333333,0.82,bb
920,1686.409639,0.72,bb
921,1686.409639,0.8,bb
922,1686.409639,0.76,bb
923,1686.409639,0.76,bb
924,1686.409639,0.78,bb
925,1706.485944,0.82,bb
926,1706.485944,0.78,bb
927,1706.485944,0.8,bb
928,1706.485944,0.83,bb
929,1706.485944,0.79,bb
930,1726.562249,0.8,bb
931,1726.562249,0.84,bb
932,1726.562249,0.8,bb
933,1726.562249,0.81,bb
934,1726.562249,0.77,bb
935,1746.638554,0.81,bb
936,1746.638554,0.84,bb
937,1746.638554,0.82,bb
938,1746.638554,0.76,bb
939,1746.638554,0.77,bb
940,1766.714859,0.78,bb
941,1766.714859,0.81,bb
942,1766.714859,0.78,bb
943,1766.714859,0.81,bb
944,1766.714859,0.75,bb
945,1786.791165,0.82,bb
946,1786.791165,0.8,bb
947,1786.791165,0.82,bb
948,1786.791165,0.84,bb
949,1786.791165,0.77,bb
950,1806.86747,0.84,bb
951,1806.86747,0.76,bb
952,1806.86747,0.77,bb
953,1806.86747,0.85,bb
954,1806.86747,0.85,bb
955,1826.943775,0.84,bb
956,1826.943775,0.85,bb
957,1826.943775,0.79,bb
958,1826.943775,0.84,bb
959,1826.943775,0.81,bb
960,1847.02008,0.85,bb
961,1847.02008,0.79,bb
962,1847.02008,0.79,bb
963,1847.02008,0.84,bb
964,1847.02008,0.84,bb
965,1867.096386,0.8,bb
966,1867.096386,0.84,bb
967,1867.096386,0.8,bb
968,1867.096386,0.83,bb
969,1867.096386,0.75,bb
970,1887.172691,0.86,bb
971,1887.172691,0.86,bb
972,1887.172691,0.82,bb
973,1887.172691,0.85,bb
974,1887.172691,0.8,bb
975,1907.248996,0.83,bb
976,1907.248996,0.75,bb
977,1907.248996,0.77,bb
978,1907.248996,0.79,bb
979,1907.248996,0.86,bb
980,1927.325301,0.86,bb
981,1927.325301,0.77,bb
982,1927.325301,0.84,bb
983,1927.325301,0.86,bb
984,1927.325301,0.86,bb
985,1947.401606,0.86,bb
986,1947.401606,0.86,bb
987,1947.401606,0.86,bb
988,1947.401606,0.84,bb
989,1947.401606,0.84,bb
990,1967.477912,0.85,bb
991,1967.477912,0.87,bb
992,1967.477912,0.85,bb
993,1967.477912,0.86,bb
994,1967.477912,0.84,bb
995,1987.554217,0.83,bb
996,1987.554217,0.86,bb
997,1987.554217,0.87,bb
998,1987.554217,0.8,bb
999,1987.554217,0.81,bb
1000,2007.630522,0.8,bb
1001,2007.630522,0.82,bb
1002,2007.630522,0.77,bb
1003,2007.630522,0.84,bb
1004,2007.630522,0.83,bb
1005,2027.706827,0.84,bb
1006,2027.706827,0.86,bb
1007,2027.706827,0.85,bb
1008,2027.706827,0.86,bb
1009,2027.706827,0.76,bb
1010,2047.783133,0.82,bb
1011,2047.783133,0.87,bb
1012,2047.783133,0.86,bb
1013,2047.783133,0.83,bb
1014,2047.783133,0.84,bb
1015,2067.859438,0.82,bb
1016,2067.859438,0.87,bb
1017,2067.859438,0.85,bb
1018,2067.859438,0.84,bb
1019,2067.859438,0.86,bb
1020,2087.935743,0.85,bb
1021,2087.935743,0.8,bb
1022,2087.935743,0.85,bb
1023,2087.935743,0.86,bb
1024,2087.935743,0.83,bb
1025,2108.012048,0.84,bb
1026,2108.012048,0.78,bb
1027,2108.012048,0.86,bb
1028,2108.012048,0.81,bb
1029,2108.012048,0.84,bb
